H_ID,H_orp_code,H_orp_name,H_address_city,H_address_city_code,H_address_district,H_address_district_code,H_date,H_persons,H_persons_0005,H_persons_0617,H_persons_1899,H_income,H_venr_car_private,H_venr_car_company,H_venr_util,H_venr_other,H_venr_bike,H_region,H_munpop
1,8104,Èeskı Tìšín,NA,NA,NA,NA,16/04/2019,3,1,0,2,30 001–50 000 Kè,0,0,0,0,1,Moravskoslezskı kraj,20 000-49 999
2,8106,Frıdek-Místek,NA,NA,NA,NA,06/02/2019,5,0,1,4,30 001–50 000 Kè,0,0,0,0,2,Moravskoslezskı kraj,50 000-99 999
3,8111,Karviná,NA,NA,NA,NA,02/08/2018,2,0,0,2,22 001–30 000 Kè,0,0,0,0,0,Moravskoslezskı kraj,50 000-99 999
4,8119,Ostrava,NA,NA,NA,NA,10/07/2018,3,0,1,2,NA,1,0,0,0,2,Moravskoslezskı kraj,100 000+
5,4105,Mariánské Láznì,NA,NA,NA,NA,02/08/2018,2,0,0,2,22 001–30 000 Kè,0,0,0,0,1,Karlovarskı kraj,do 999
6,4105,Mariánské Láznì,NA,NA,NA,NA,02/08/2018,1,0,0,1,9 201–15 000 Kè,0,0,0,0,1,Karlovarskı kraj,do 999
7,2114,Mìlník,NA,NA,NA,NA,31/07/2018,5,0,2,3,30 001–50 000 Kè,2,0,0,0,8,Støedoèeskı kraj,do 999
8,6110,Pelhøimov,NA,NA,NA,NA,10/10/2018,4,1,1,2,NA,1,0,0,0,3,Kraj Vysoèina,do 999
9,6201,Blansko,NA,NA,NA,NA,05/10/2017,1,0,0,1,9 201–15 000 Kè,0,0,0,0,0,Jihomoravskı kraj,20 000-49 999
10,5211,Nové Mìsto nad Metují,NA,NA,NA,NA,14/02/2019,2,0,0,2,NA,1,0,0,0,2,Královéhradeckı kraj,5 000-9 999
11,7213,Zlín,NA,NA,NA,NA,03/10/2018,5,0,0,5,NA,4,0,0,1,5,Zlínskı kraj,do 999
12,5107,Semily,NA,NA,NA,NA,12/02/2019,2,0,0,2,15 001–22 000 Kè,0,0,0,0,0,Libereckı kraj,5 000-9 999
13,5309,Pardubice,NA,NA,NA,NA,30/08/2018,1,0,0,1,15 001–22 000 Kè,1,0,0,0,1,Pardubickı kraj,50 000-99 999
14,6201,Blansko,NA,NA,NA,NA,22/11/2017,2,0,0,2,22 001–30 000 Kè,1,0,0,0,1,Jihomoravskı kraj,2 000-4 999
15,8119,Ostrava,NA,NA,NA,NA,27/12/2019,2,0,0,2,22 001–30 000 Kè,1,0,0,0,1,Moravskoslezskı kraj,100 000+
16,8119,Ostrava,NA,NA,NA,NA,12/06/2018,2,0,1,1,9 201–15 000 Kè,0,0,0,0,1,Moravskoslezskı kraj,100 000+
17,2102,Beroun,NA,NA,NA,NA,04/07/2018,2,0,0,2,22 001–30 000 Kè,1,0,0,0,0,Støedoèeskı kraj,10 000-19 999
18,4103,Karlovy Vary,NA,NA,NA,NA,19/02/2019,4,1,1,2,22 001–30 000 Kè,1,0,0,0,0,Karlovarskı kraj,20 000-49 999
19,6201,Blansko,NA,NA,NA,NA,28/11/2017,2,0,0,2,22 001–30 000 Kè,1,0,0,0,3,Jihomoravskı kraj,2 000-4 999
20,6206,Hodonín,NA,NA,NA,NA,08/11/2017,4,0,0,4,30 001–50 000 Kè,2,0,0,1,4,Jihomoravskı kraj,2 000-4 999
21,6203,Brno,NA,NA,NA,NA,25/07/2018,1,0,0,1,NA,0,0,0,0,0,Jihomoravskı kraj,100 000+
22,6203,Brno,NA,NA,NA,NA,07/11/2017,2,0,0,2,nevím/nechci odpovídat,1,0,0,0,0,Jihomoravskı kraj,100 000+
23,7205,Otrokovice,NA,NA,NA,NA,09/10/2018,2,1,0,1,ménì ne 9 200 Kè,0,0,0,0,0,Zlínskı kraj,5 000-9 999
24,7205,Otrokovice,NA,NA,NA,NA,02/10/2018,4,0,1,3,22 001–30 000 Kè,1,0,0,0,2,Zlínskı kraj,5 000-9 999
25,8119,Ostrava,NA,NA,NA,NA,13/02/2019,1,0,0,1,15 001–22 000 Kè,0,0,0,0,1,Moravskoslezskı kraj,100 000+
