,PersonID,ActivityCVP,ActivityVISUM,ActivitySector,EducationPlace,Age,AgeGroup,BasicSettlementCode,CadastralAreaCode,DistrictCode,DeclaredJourneyTime,Education,Gender,JourneyMainMode,PrimaryLocTownCode,PrimaryLocDistrictCode,PrimaryLocRegionCode,PrimaryLocStateCode,PrimaryLocRelationHome,TownCode,TownSize,RegionCode
0,1,1,1,7,4,37,4,1786830,778681,4214,1,2,2,6,554804,4214,3069,203,1,568350,4,CZ042
1,2,1,1,7,4,37,4,1786830,778681,4214,2,2,2,6,568350,4214,3069,203,6,568350,4,CZ042
2,3,3,2,99,3,26,3,1268110,726818,4214,2,1,1,5,554804,4214,3069,203,1,568155,4,CZ042
5,6,1,1,9,4,63,7,1749710,774979,4214,2,2,1,3,553697,4214,3069,203,6,553697,4,CZ042
7,8,3,2,9,3,28,3,906970,690694,4214,2,2,2,6,554804,4214,3069,203,1,568104,2,CZ042
11,12,8,2,99,3,25,3,1767110,776726,4214,2,2,1,3,554804,4214,3069,203,1,568350,4,CZ042
16,17,1,1,1,4,45,5,517990,651796,4214,2,4,1,6,562335,4202,3069,203,2,568015,4,CZ042
26,27,6,3,99,4,72,8,1350710,735078,4214,1,2,2,6,554804,4214,3069,203,1,530620,99,CZ042
29,30,1,1,9,4,36,4,1558110,755818,4214,1,4,1,6,554804,4214,3069,203,1,568015,4,CZ042
32,33,8,2,99,2,17,2,517990,651796,4214,1,88,1,6,568015,4214,3069,203,6,568015,4,CZ042
34,35,1,1,9,4,34,4,1558110,755818,4214,1,2,2,6,554804,4214,3069,203,1,568015,4,CZ042
52,53,1,1,9,3,27,3,504910,650498,4214,2,2,2,3,554804,4214,3069,203,1,568007,4,CZ042
56,57,1,1,7,4,65,7,504910,650498,4214,1,2,1,2,568007,4214,3069,203,4,568007,4,CZ042
62,63,1,1,9,4,47,5,504910,650498,4214,2,2,2,3,554804,4214,3069,203,1,568007,4,CZ042
63,64,1,1,9,4,52,6,1951620,795160,4214,2,2,1,6,554804,4214,3069,203,1,555223,2,CZ042
64,65,1,1,9,4,49,5,1951620,795160,4214,2,2,2,6,554804,4214,3069,203,1,555223,2,CZ042
65,66,1,1,9,3,26,3,1951620,795160,4214,1,2,1,3,554804,4214,3069,203,1,555223,2,CZ042
95,96,2,1,5,4,69,7,1268110,726818,4214,2,3,1,6,554804,4214,3069,203,1,568155,4,CZ042
98,99,12,4,9,4,65,7,1786830,778681,4214,2,2,1,4,554804,4214,3069,203,1,568350,4,CZ042
102,103,12,4,0,4,51,6,1553900,755419,4214,1,2,1,3,554804,4214,3069,998,2,546925,99,CZ042
110,111,7,5,99,4,35,4,906970,690694,4214,2,2,2,7,554804,4214,3069,998,1,568104,2,CZ042
153,154,1,1,7,4,31,4,834110,683418,4214,5,2,2,4,554804,4214,3069,203,1,568058,3,CZ042
155,156,1,1,8,4,46,5,363910,636398,4214,1,3,1,6,554804,4214,3069,203,1,567957,99,CZ042
159,160,1,1,9,4,39,4,1749710,774979,4214,9,2,1,7,553697,4214,3069,203,6,553697,4,CZ042
162,163,12,4,9,4,40,4,303680,630365,4214,5,2,1,5,554804,4214,3069,203,1,567931,2,CZ042
176,177,12,4,99,4,64,7,1944920,794490,4214,3,2,1,6,568015,4214,3069,203,2,568015,4,CZ042
