,PersonID,Weight,AgeGroup,Gender,Education,ActivityCzechiaHTS,TownSize,TownCode,RegionCode,DistrictCode,JourneyMainMode,DeclaredJourneyTime,PrimaryLocRelationHome,PrimaryLocTownCode,PrimaryLocDistrictCode,PrimaryLocStateName,PrimaryLocCrowFliesTripDist,HasWorkTrip,HasEducationTrip,FlexibleHours,AvailCar,AvailBike,DrivingLicense,PtSubscription
0,CZ100,2.274956418,6,2,1,1,1,,CZ072,7213,4,2,3,,8107,Česko,144860.0,True,False,1,1,0,0,1
1,CZ1000,1.098399049,3,2,1,3,8,,CZ010,1100,1,1,6,,1100,Česko,1080.40808916902,False,True,99,1,1,0,1
2,CZ10000,0.921319364,4,1,2,1,8,,CZ010,1100,3,3,1,,1100,Česko,7650.0,True,False,1,0,0,1,1
3,CZ10001,0.898303635,4,2,2,1,8,,CZ010,1100,1,2,1,,1100,Česko,549.734397336616,True,False,1,0,0,1,1
4,CZ10003,0.921319364,4,1,2,1,1,,CZ020,2111,6,1,2,,2105,Česko,9442.77064176047,True,False,1,1,0,1,0
5,CZ10008,0.209486037,6,1,3,1,7,,CZ020,2109,6,5,3,,4207,Česko,39330.0,True,False,2,1,1,1,0
6,CZ10009,1.066141179,6,1,2,1,5,,CZ020,2117,6,1,1,,2117,Česko,539.810574748464,True,False,2,1,1,1,0
7,CZ10010,0.826096241,6,2,2,1,5,,CZ020,2117,1,6,88,,2117,Česko,0.0,False,False,1,1,1,0,0
8,CZ10011,0.783283009,1,2,1,3,2,,CZ020,2114,1,1,1,,2114,Česko,383.570806356773,False,True,99,1,1,0,0
9,CZ10012,1.605315878,4,1,2,1,2,,CZ020,2114,6,1,1,,2114,Česko,8954.33063287064,True,False,1,1,1,1,0
10,CZ10013,0.422578531,4,2,2,4,2,,CZ020,2114,6,3,88,,2114,Česko,0.0,False,False,99,1,1,1,0
11,CZ10015,0.955674809,7,2,2,6,2,,CZ020,2108,6,1,88,,2108,Česko,0.0,False,False,99,1,0,1,0
12,CZ10016,0.455247928,7,1,2,1,2,,CZ020,2108,6,1,2,,2107,Česko,10086.937876103899,True,False,1,1,0,1,0
13,CZ10017,0.783283009,1,2,1,3,2,,CZ032,3205,1,1,1,,3205,Česko,1348.59275396138,False,True,99,1,1,0,0
14,CZ10018,0.752272394,1,1,1,3,2,,CZ032,3205,1,1,1,,3205,Česko,1348.59275396138,False,True,99,1,1,0,0
15,CZ10019,0.672283652,4,2,3,1,2,,CZ032,3205,1,1,1,,3205,Česko,1342.70674349814,True,False,1,1,1,1,0
16,CZ10020,0.507763218,4,1,3,1,2,,CZ032,3205,6,2,1,,3205,Česko,10968.974071477,True,False,1,1,0,1,0
17,CZ10022,0.767168907,7,2,2,6,8,,CZ010,1100,1,1,88,,1100,Česko,0.0,False,False,99,1,1,0,0
18,CZ10025,1.257699028,3,1,2,1,7,554804,CZ042,4214,6,1,1,553697,4214,Česko,4428.145351592079,True,False,2,1,0,1,0
19,CZ10026,0.752272394,1,1,1,3,1,,CZ072,7211,4,1,1,,7211,Česko,2373.9214581788797,False,True,99,0,1,0,0
20,CZ10028,0.898303635,4,2,2,1,1,,CZ072,7211,6,3,2,,7205,Česko,25675.0208060961,True,False,1,1,1,1,0
21,CZ10029,0.921319364,4,1,2,1,1,,CZ072,7211,6,2,2,,7205,Česko,25675.0208060961,True,False,1,1,1,1,0
22,CZ10032,1.142359507,2,2,1,3,8,,CZ064,6203,3,3,1,,6203,Česko,4710.0,False,True,99,0,0,0,1
23,CZ10033,0.839737293,5,2,2,1,8,,CZ064,6203,3,3,1,,6203,Česko,3280.0,True,False,1,0,0,0,1
24,CZ10034,0.422578531,4,2,2,4,7,,CZ072,7213,3,1,1,,7213,Česko,1486.0595389928199,True,False,1,1,1,1,0
25,CZ10035,0.653980951,6,1,2,1,7,,CZ072,7213,6,2,1,,7213,Česko,1670.0,True,False,1,1,1,1,0
26,CZ10036,1.285875231,5,1,2,11,7,,CZ080,8108,1,1,88,,8108,Česko,0.0,False,False,99,0,0,0,0
27,CZ10037,0.512988177,5,2,2,11,7,,CZ080,8108,1,1,88,,8108,Česko,0.0,False,False,99,0,1,0,0
28,CZ10039,1.017968925,7,1,2,6,1,,CZ071,7104,6,2,2,,7109,Česko,8833.80491264158,True,False,99,1,1,1,0
29,CZ10040,0.921319364,4,1,2,1,1,,CZ071,7104,6,2,2,,7113,Česko,96390.0,True,False,1,1,1,1,0
30,CZ10045,1.605315878,4,1,2,1,1,,CZ072,7213,6,2,2,,7205,Česko,6445.17590004695,True,False,1,1,0,1,0
31,CZ10048,0.872100419,6,2,4,1,2,,CZ080,8119,3,5,1,,8119,Česko,21030.0,True,False,2,1,1,1,1
32,CZ10050,1.266367601,3,1,2,3,2,,CZ080,8119,7,2,88,,8119,Česko,0.0,False,False,99,1,1,1,1
33,CZ10051,1.01053916,6,1,4,1,2,,CZ080,8119,6,2,2,,8117,Česko,12241.483941276201,True,False,2,1,1,1,0
34,CZ10052,0.826096241,6,2,2,1,8,,CZ064,6203,3,3,1,,6203,Česko,8119.531453212,True,False,1,1,1,0,1
35,CZ10054,1.53318226,4,2,2,1,8,,CZ064,6203,3,2,1,,6203,Česko,4849.70623702307,True,False,2,1,1,0,1
36,CZ10055,0.606437978,5,1,2,1,3,,CZ063,6110,6,1,6,,6110,Česko,1029.48461670653,True,False,1,1,0,1,0
37,CZ10056,0.716476682,5,2,2,1,3,,CZ063,6110,6,1,6,,6110,Česko,1029.48461670653,True,False,1,1,0,1,0
38,CZ10057,1.266367601,3,1,2,3,3,,CZ063,6110,6,6,1,,6110,Česko,1029.48461670653,True,False,99,1,0,1,0
39,CZ10058,1.965258731,6,1,1,1,3,,CZ052,5209,7,2,2,,5211,Česko,13862.5219989577,True,False,1,1,0,1,0
40,CZ10059,1.605315878,4,1,2,1,3,,CZ052,5209,6,2,2,,5211,Česko,13862.5219989577,True,False,1,1,1,1,0
41,CZ1006,1.01053916,6,1,4,1,5,,CZ080,8105,6,2,3,,7206,Česko,10662.9147930831,True,False,2,1,1,1,0
42,CZ10060,0.826096241,6,2,2,1,3,,CZ052,5209,1,1,1,,5209,Česko,690.022050708234,True,False,1,1,0,0,0
43,CZ10061,0.653980951,6,1,2,1,5,,CZ052,5206,6,1,1,,5206,Česko,2739.43266931464,True,False,1,1,1,1,0
44,CZ10062,0.826096241,6,2,2,1,5,,CZ052,5206,1,1,6,,5206,Česko,109.62334587490601,True,False,1,0,1,0,0
45,CZ10063,0.517469231,8,2,2,6,6,,CZ042,4213,7,2,88,,4213,Česko,0.0,False,False,99,1,0,1,1
46,CZ10064,0.777888093,8,2,2,6,5,,CZ041,4107,1,2,88,,4107,Česko,0.0,False,False,99,0,0,0,0
47,CZ10066,0.143328738,7,2,2,1,1,,CZ042,4209,1,1,1,,4209,Česko,360.837879935967,True,False,1,0,1,0,0
48,CZ10069,0.767168907,7,2,2,6,6,,CZ042,4205,7,1,88,,4205,Česko,0.0,False,False,99,1,1,1,0
49,CZ1007,0.921319364,4,1,2,1,5,,CZ080,8105,7,2,3,,7206,Česko,10662.9147930831,True,False,1,1,1,1,0
50,CZ10077,0.741699189,2,1,1,3,6,,CZ041,4107,2,2,88,,4107,Česko,0.0,False,False,99,0,1,0,0
51,CZ10079,0.143328738,7,2,2,1,7,,CZ063,6105,3,2,1,,6105,Česko,2393.7468302295797,True,False,1,1,0,0,1
52,CZ1008,0.872100419,6,2,4,1,5,,CZ080,8105,4,6,2,,8116,Česko,50610.0,True,False,2,1,0,1,0
53,CZ10082,0.899265339,4,2,4,1,7,,CZ080,8106,6,1,6,,8106,Česko,2105.68023735493,True,False,1,1,0,1,1
54,CZ10085,0.839737293,5,2,2,1,1,,CZ071,7113,2,1,6,,7113,Česko,821.866246244488,True,False,1,0,1,1,0
