,TripID,PersonID,TripOrderNum,OriginStart,DestEnd,TripMainMode,OriginTownCode,DestTownCode,OriginState,DestState,OriginDistrictCode,DestDistrictCode,CrowFliesTripDist,OriginPurpose,DestPurpose,DeclaredTripTime
7432,CZ7432,CZ100,1,16200,17700,4,,,Česko,Česko,7213,8107,144860.0,1,4,25.2
7431,CZ7433,CZ100,2,40500,42000,4,,,Česko,Česko,8107,7213,133080.0,4,1,25.2
39693,CZ39694,CZ1000,1,26700,27000,1,,,Česko,Česko,1100,1100,1080.40808916902,1,5,4.8
39692,CZ39692,CZ1000,2,52200,52500,1,,,Česko,Česko,1100,1100,1080.40808916902,5,1,4.8
39694,CZ39693,CZ1000,3,57600,57900,1,,,Česko,Česko,1100,1100,4710.0,1,2,4.8
39695,CZ39696,CZ1000,4,63000,63300,4,,,Česko,Česko,1100,1100,3315.67772521851,2,6,4.8
39691,CZ39695,CZ1000,5,68400,68700,4,,,Česko,Česko,1100,1100,899.340417822566,6,1,4.8
49470,CZ49470,CZ10000,1,39600,42000,3,,,Česko,Česko,1100,1100,7650.0,1,4,40.2
49469,CZ49471,CZ10000,2,84600,600,3,,,Česko,Česko,1100,1100,8010.0,4,1,40.2
46259,CZ46262,CZ10001,1,55800,57000,1,,,Česko,Česko,1100,1100,549.734397336616,1,4,19.8
46262,CZ46263,CZ10001,2,64800,66000,1,,,Česko,Česko,1100,1100,549.734397336616,4,1,19.8
20290,CZ20291,CZ10003,1,27000,27900,6,,,Česko,Česko,2111,2105,9442.77064176047,1,4,15.0
20289,CZ20290,CZ10003,2,59700,60600,6,,,Česko,Česko,2105,2111,9442.77064176047,4,1,15.0
20293,CZ20294,CZ10008,1,25200,29400,6,,,Česko,Česko,2109,4207,39330.0,1,4,70.19999999999999
20292,CZ20293,CZ10008,2,68400,72900,6,,,Česko,Česko,4207,2109,39690.0,4,1,75.0
47930,CZ47931,CZ10009,1,21600,22200,6,,,Česko,Česko,2117,2117,539.810574748464,1,4,10.200000000000001
47931,CZ47932,CZ10009,2,64800,65400,6,,,Česko,Česko,2117,2117,539.810574748464,4,1,10.200000000000001
45219,CZ45218,CZ10010,1,25200,26100,1,,,Česko,Česko,2117,2117,360.731206997883,1,3,15.0
45221,CZ45219,CZ10010,2,27000,27900,1,,,Česko,Česko,2117,2117,360.731206997883,3,1,15.0
45217,CZ45220,CZ10010,3,29700,30000,1,,,Česko,Česko,2117,2117,173.402062553143,1,6,4.8
45222,CZ45221,CZ10010,4,31200,31500,1,,,Česko,Česko,2117,2117,173.402062553143,6,1,4.8
45218,CZ45222,CZ10010,5,41400,48600,1,,,Česko,Česko,2117,6113,176660.0,1,2,120.0
45220,CZ45223,CZ10010,6,50400,57600,1,,,Česko,Česko,6113,2117,176660.0,2,1,120.0
20294,CZ20295,CZ10011,1,27000,27600,1,,,Česko,Česko,2114,2114,383.570806356773,1,5,10.200000000000001
20297,CZ20298,CZ10011,2,45000,45600,1,,,Česko,Česko,2114,2114,383.570806356773,5,1,10.200000000000001
20295,CZ20296,CZ10011,3,52200,53100,7,,,Česko,Česko,2114,2114,2884.68201168244,1,2,15.0
20296,CZ20297,CZ10011,4,57600,60300,6,,,Česko,Česko,2114,2114,3620.0,2,1,45.0
20300,CZ20301,CZ10012,1,16200,17100,6,,,Česko,Česko,2114,2114,8954.33063287064,1,4,15.0
20298,CZ20299,CZ10012,2,27000,63000,6,,,Česko,Česko,2114,2114,150000.0,4,4,600.0
20299,CZ20300,CZ10012,3,64800,66000,6,,,Česko,Česko,2114,2114,8954.33063287064,4,1,19.8
20304,CZ20305,CZ10013,1,27000,27600,1,,,Česko,Česko,2114,2114,383.570806356773,1,6,10.200000000000001
20303,CZ20304,CZ10013,2,28200,28800,1,,,Česko,Česko,2114,2114,383.570806356773,6,1,10.200000000000001
20305,CZ20306,CZ10013,3,52200,53100,6,,,Česko,Česko,2114,2114,2884.68201168244,1,2,15.0
20306,CZ20307,CZ10013,4,57600,60300,6,,,Česko,Česko,2114,2114,3620.0,2,1,45.0
37762,CZ37761,CZ10015,1,34200,34800,6,,,Česko,Česko,2108,2108,1013.7286372251799,1,6,10.200000000000001
37761,CZ37762,CZ10015,2,37200,37500,6,,,Česko,Česko,2108,2108,306.965869894242,6,3,4.8
37760,CZ37763,CZ10015,3,40500,41100,6,,,Česko,Česko,2108,2108,716.1505060317251,3,1,10.200000000000001
41488,CZ41489,CZ10016,1,12600,13500,6,,,Česko,Česko,2108,2107,10086.937876103899,1,4,15.0
41489,CZ41490,CZ10016,2,53100,54000,6,,,Česko,Česko,2107,2108,10086.937876103899,4,1,15.0
41494,CZ41493,CZ10017,1,27000,27900,1,,,Česko,Česko,3205,3205,1348.59275396138,1,5,15.0
41493,CZ41494,CZ10017,2,48600,49500,1,,,Česko,Česko,3205,3205,1348.59275396138,5,1,15.0
41492,CZ41495,CZ10017,3,55800,56700,1,,,Česko,Česko,3205,3205,1219.18971540912,1,6,15.0
41495,CZ41496,CZ10017,4,63000,64800,1,,,Česko,Česko,3205,3205,1219.18971540912,6,1,30.0
41496,CZ41497,CZ10018,1,27000,27900,1,,,Česko,Česko,3205,3205,1348.59275396138,1,5,15.0
41497,CZ41498,CZ10018,2,48600,49500,1,,,Česko,Česko,3205,3205,1348.59275396138,5,1,15.0
41499,CZ41499,CZ10018,3,50400,54000,2,,,Česko,Česko,3205,3111,64700.0,1,2,60.0
41498,CZ41500,CZ10018,4,57600,61200,2,,,Česko,Česko,3111,3205,64700.0,2,1,60.0
37764,CZ37764,CZ10019,1,27000,27900,1,,,Česko,Česko,3205,3205,1342.70674349814,1,4,15.0
37763,CZ37765,CZ10019,2,52200,53100,1,,,Česko,Česko,3205,3205,1342.70674349814,4,1,15.0
41491,CZ41491,CZ10020,1,25200,26700,6,,,Česko,Česko,3205,3205,10968.974071477,1,4,25.2
41490,CZ41492,CZ10020,2,52200,53700,6,,,Česko,Česko,3205,3205,10968.974071477,4,1,25.2
44403,CZ44403,CZ10022,1,28800,29400,1,,,Česko,Česko,5106,5106,642.433247305059,1,3,10.200000000000001
44402,CZ44404,CZ10022,2,32400,33000,1,,,Česko,Česko,5106,5106,642.433247305059,3,1,10.200000000000001
20308,CZ20309,CZ10025,1,24300,24900,6,554804,553697,Česko,Česko,4214,4214,4428.145351592079,1,4,10.200000000000001
20307,CZ20308,CZ10025,2,54000,54600,6,553697,554804,Česko,Česko,4214,4214,4428.145351592079,4,1,10.200000000000001
20310,CZ20311,CZ10026,1,27000,27600,4,,,Česko,Česko,7211,7211,2373.9214581788797,1,5,10.200000000000001
20311,CZ20312,CZ10026,2,52800,54000,4,,,Česko,Česko,7211,7211,2373.9214581788797,5,1,19.8
20312,CZ20313,CZ10026,3,61200,61800,7,,,Česko,Česko,7211,7211,2373.9214581788797,1,2,10.200000000000001
20309,CZ20310,CZ10026,4,68100,68400,7,,,Česko,Česko,7211,7211,2373.9214581788797,2,1,4.8
20315,CZ20316,CZ10028,1,28800,30900,6,,,Česko,Česko,7211,7205,25675.0208060961,1,4,34.8
20314,CZ20315,CZ10028,2,66300,68400,6,,,Česko,Česko,7205,7211,25675.0208060961,4,1,34.8
20317,CZ20318,CZ10029,1,32400,34200,6,,,Česko,Česko,7211,7205,25675.0208060961,1,4,30.0
20316,CZ20317,CZ10029,2,62700,64800,6,,,Česko,Česko,7205,7211,25675.0208060961,4,1,34.8
41500,CZ41501,CZ10032,1,25200,27300,3,,,Česko,Česko,6203,6203,4710.0,1,5,34.8
41502,CZ41502,CZ10032,2,51600,52500,3,,,Česko,Česko,6203,6203,1802.69367084565,5,2,15.0
41501,CZ41503,CZ10032,3,61200,62700,3,,,Česko,Česko,6203,6203,2007.7729953674202,2,1,25.2
37765,CZ37766,CZ10033,1,8400,10500,3,,,Česko,Česko,6203,6203,3280.0,1,4,34.8
37766,CZ37767,CZ10033,2,52200,53400,3,,,Česko,Česko,6203,6203,1794.7455533196198,4,1,19.8
