,PersonID,AgeGroup,JourneyMainMode,LocationID,geometry
0,78484,1,5,568350_632,POINT (-755646.7641577778 -975969.4882221764)
1,85583,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
2,85584,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
3,85588,1,4,25486,POINT (-767462.879999999 -970908.3200000003)
4,85595,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
5,85601,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
6,85654,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
7,85667,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
8,85672,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
9,86199,1,5,25486,POINT (-767462.879999999 -970908.3200000003)
10,86348,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
11,86370,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
12,86650,1,5,25486,POINT (-767462.879999999 -970908.3200000003)
13,86779,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
14,86818,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
15,87382,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
16,87905,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
17,87937,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
18,87991,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
19,88068,1,4,25486,POINT (-767462.879999999 -970908.3200000003)
20,88206,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
21,88293,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
22,88361,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
23,88936,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
24,88942,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
25,89454,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
26,89577,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
27,89582,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
28,89654,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
29,89662,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
30,89752,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
31,89801,1,7,25486,POINT (-767462.879999999 -970908.3200000003)
32,89809,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
33,89820,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
34,90357,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
35,90377,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
36,90436,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
37,90457,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
38,90480,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
39,90505,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
40,90520,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
41,90548,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
42,90886,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
43,90970,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
44,91429,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
45,91476,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
46,91734,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
47,92057,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
48,92108,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
49,92402,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
50,92623,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
51,92833,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
52,92994,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
53,93011,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
54,93044,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
55,93390,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
56,93651,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
57,93731,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
58,93830,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
59,94655,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
60,96007,1,7,25486,POINT (-767462.879999999 -970908.3200000003)
61,96069,1,7,25486,POINT (-767462.879999999 -970908.3200000003)
62,96109,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
63,96137,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
64,96145,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
65,96163,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
66,96265,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
67,96309,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
68,96372,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
69,96595,1,5,25486,POINT (-767462.879999999 -970908.3200000003)
70,96653,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
71,97149,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
72,99153,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
73,99178,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
74,99334,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
75,99335,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
76,99341,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
77,99408,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
78,99427,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
79,99484,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
80,99488,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
81,99575,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
82,99603,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
83,99613,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
84,99771,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
85,99822,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
86,99831,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
87,99844,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
88,99875,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
89,99877,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
90,99947,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
91,100058,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
92,100150,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
93,100192,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
94,100318,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
95,100354,1,4,25486,POINT (-767462.879999999 -970908.3200000003)
96,102487,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
97,102540,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
98,102555,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
99,102663,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
100,102699,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
101,102819,1,7,25486,POINT (-767462.879999999 -970908.3200000003)
102,103072,1,1,25486,POINT (-767462.879999999 -970908.3200000003)
103,103158,1,7,25486,POINT (-767462.879999999 -970908.3200000003)
104,103208,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
105,103232,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
106,103260,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
107,103264,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
108,103573,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
109,103648,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
110,103823,1,4,25486,POINT (-767462.879999999 -970908.3200000003)
111,103851,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
112,106004,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
113,106043,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
114,106222,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
115,106381,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
116,106695,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
117,106873,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
118,106895,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
119,106897,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
120,107219,1,3,25486,POINT (-767462.879999999 -970908.3200000003)
121,107322,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
122,107438,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
123,107448,1,7,25486,POINT (-767462.879999999 -970908.3200000003)
124,107450,1,5,25486,POINT (-767462.879999999 -970908.3200000003)
125,107563,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
126,109893,1,6,25486,POINT (-767462.879999999 -970908.3200000003)
