,PersonID,TripID,TripOrderNum,TripMainMode,DestPurpose,LocationID,geometry
0,1,C_11559,3,7,6,2205,POINT (-754195.5930000001 -975086.4300000001)
1,10001,C_31144,1,1,3,22959,POINT (-766634.0275240482 -970943.5169855249)
2,1001,C_31327,1,7,3,23840,POINT (-764742.2999106745 -984553.5141613396)
3,10013,C_33247,1,1,3,25209,POINT (-759404.4520555472 -965309.9622554118)
4,10013,C_33249,3,7,6,18945,POINT (-758919.5871291377 -962578.4195029968)
5,1002,C_40329,1,6,2,10120,POINT (-760598.5930000001 -961936.9900000001)
6,100388,C_7445,3,1,3,8096,POINT (-763362.5930000001 -962025.9900000001)
7,100393,C_38327,1,1,3,6012,POINT (-762962.5930000001 -960004.9900000001)
8,100393,C_38329,3,1,2,24147,POINT (-761177.7200896031 -959507.1631820966)
9,100397,C_28559,1,1,3,8552,POINT (-763333.5930000001 -961335.9900000001)
10,100398,C_41788,2,6,3,25139,POINT (-761131.2243837572 -964621.8971433232)
11,1004,C_47216,1,1,3,24751,POINT (-756734.0256778753 -973508.293776118)
12,1004,C_47218,3,1,2,9845,POINT (-756756.1930000001 -973659.1200000001)
13,100401,C_3687,2,6,3,19558,POINT (-762127.3325199996 -963973.1224411995)
14,100403,C_30531,1,1,3,6035,POINT (-762931.5930000001 -959951.9900000001)
15,100407,C_25268,1,6,2,15357,POINT (-768759.3730000001 -966658.9000000001)
16,100409,C_1640,1,1,3,24111,POINT (-763476.0710809552 -960683.6816419277)
17,100414,C_10365,3,3,3,4534,POINT (-753579.3230000001 -976768.9800000001)
18,100416,C_22567,1,1,3,23252,POINT (-752458.2939117748 -976473.2515454066)
19,100416,C_22568,3,1,3,14997,POINT (-752190.0030000001 -976042.2100000001)
20,100420,C_33869,1,1,3,23447,POINT (-754249.5530277661 -975614.6894592125)
21,100421,C_9494,1,1,6,22593,POINT (-751670.2589148117 -975912.8795667345)
22,100424,C_47596,1,1,3,3865,POINT (-752147.5330000001 -975960.4000000001)
23,100432,C_48271,3,6,3,22401,POINT (-754949.2121586422 -976927.0954830325)
24,100435,C_20968,1,1,6,23198,POINT (-752332.0585578633 -975708.7642862841)
25,100438,C_18296,1,1,3,18402,POINT (-749803.7630000002 -977489.6800000001)
26,100441,C_46554,5,6,2,24930,POINT (-753569.8800815697 -978966.4428475754)
27,100442,C_13667,1,7,6,20950,POINT (-759181.3853523406 -976857.0223769549)
28,100443,C_13667,1,7,6,22928,POINT (-769888.7053745912 -971037.2878559737)
29,100445,C_15871,1,1,6,16359,POINT (-752294.5930000001 -975866.9900000001)
30,100445,C_15868,3,1,2,6616,POINT (-756239.1730000001 -975661.2800000001)
31,100446,C_14400,1,6,2,9042,POINT (-752368.0130000002 -979656.8800000001)
32,100452,C_17168,1,1,3,16339,POINT (-752423.5930000001 -975961.9900000001)
33,100461,C_18747,1,1,3,23252,POINT (-752458.2939117748 -976473.2515454066)
34,100461,C_18746,2,1,6,3443,POINT (-753115.9330000001 -976082.4700000001)
35,100462,C_44755,2,6,3,24941,POINT (-750904.8499253478 -981260.8980069256)
36,100465,C_6012,1,6,6,4090,POINT (-755023.1130000001 -976764.3800000001)
37,100465,C_6015,3,6,3,13672,POINT (-755973.3630000001 -976582.3300000001)
38,100467,C_7963,1,4,6,22233,POINT (-763080.1880947314 -971704.5712842185)
39,100467,C_7965,3,7,6,22577,POINT (-748644.0130932626 -980418.0265159616)
40,100469,C_33246,1,7,6,23253,POINT (-753772.7810406887 -975418.2688459049)
41,100473,C_30016,1,7,2,10485,POINT (-758569.1930000001 -975823.9800000001)
42,100474,C_20458,1,6,6,18265,POINT (-751879.6830000001 -975840.7800000001)
43,100478,C_3155,1,1,2,4617,POINT (-753537.6730000001 -976579.0700000001)
44,100478,C_3153,2,1,3,4617,POINT (-753537.6730000001 -976579.0700000001)
45,100478,C_3152,3,1,6,23350,POINT (-753900.0124773715 -976857.4995097185)
46,100478,C_3156,4,6,3,443,POINT (-757731.9030000002 -976727.3100000001)
47,100478,C_3154,5,1,2,443,POINT (-757731.9030000002 -976727.3100000001)
48,100481,C_49387,3,1,3,19614,POINT (-760400.5034080839 -962482.909959165)
49,100482,C_38126,1,1,3,19498,POINT (-759220.4717893723 -962281.7409666557)
50,100484,C_33006,5,1,2,19557,POINT (-761468.1615402927 -962960.9311130281)
51,100489,C_50309,2,1,2,19134,POINT (-760012.8494458067 -962411.4946719931)
52,100495,C_34416,1,2,3,19554,POINT (-760873.9396341719 -963446.3058208651)
53,100500,C_11559,3,7,6,19554,POINT (-760873.9396341719 -963446.3058208651)
54,100501,C_50359,3,1,2,19614,POINT (-760400.5034080839 -962482.909959165)
55,100502,C_21106,1,1,6,19859,POINT (-761073.7676406301 -963409.2004851557)
56,100502,C_21105,4,6,2,24113,POINT (-762400.3886685849 -963357.8679681346)
57,100505,C_41336,3,7,3,4939,POINT (-760741.5930000001 -962341.9900000001)
58,100506,C_18296,1,1,3,19847,POINT (-758961.0142258867 -962597.9520481619)
59,100507,C_39112,1,7,2,20125,POINT (-757785.5310226241 -960800.819066491)
60,100509,C_21972,1,7,6,25121,POINT (-760108.7741763743 -965561.9476112255)
61,100510,C_10316,1,6,2,2269,POINT (-759187.9730000001 -963423.8700000001)
62,100510,C_10318,3,1,2,19844,POINT (-759333.9317033651 -962347.9363629662)
63,100513,C_8245,2,6,3,5005,POINT (-761676.5930000001 -966166.9900000001)
64,100513,C_8248,3,6,6,4285,POINT (-760331.5930000001 -965919.9900000001)
65,100513,C_8246,4,6,2,25349,POINT (-761362.1808605581 -968388.4979016819)
66,100514,C_34416,1,2,3,25290,POINT (-758646.443742762 -967395.4087351549)
67,100515,C_42958,2,6,2,19471,POINT (-759674.6450392511 -961679.9529028337)
68,100516,C_45676,2,3,3,19853,POINT (-759538.1183282259 -962621.8284234625)
69,100519,C_23826,1,1,3,19731,POINT (-758908.9516444034 -962257.099779151)
70,100520,C_14105,3,1,3,19415,POINT (-759230.4810845477 -962102.4302418163)
71,100524,C_29236,1,4,6,15122,POINT (-760595.1730000001 -975398.6000000001)
72,100527,C_1830,2,6,2,23651,POINT (-763274.2635410605 -978098.4637965921)
73,100527,C_1829,4,1,2,23387,POINT (-753876.399383125 -977987.8619200188)
74,100527,C_1833,6,1,2,12659,POINT (-753799.2830000001 -977477.6200000001)
75,100528,C_46868,2,1,2,20668,POINT (-760080.5835601768 -973604.7281910215)
76,100529,C_4596,1,7,3,23447,POINT (-754249.5530277661 -975614.6894592125)
77,100530,C_41024,1,2,3,1911,POINT (-751677.9330000001 -976086.3800000001)
78,100531,C_37828,1,6,3,21814,POINT (-758761.3607541516 -974039.9106547624)
79,100531,C_37829,2,6,2,20224,POINT (-760392.5843720249 -976185.2257520051)
80,100533,C_21970,1,6,6,13995,POINT (-755820.6130000001 -978879.4900000001)
