,PersonID,ActivitySector,JourneyMainMode,LocationID,geometry
0,3088,99,3,23723,POINT (-765138.1685216185 -977377.0209452716)
1,10602,99,3,23723,POINT (-765138.1685216185 -977377.0209452716)
2,22238,99,3,23776,POINT (-762733.5116782401 -977119.0946457906)
3,22240,99,5,23693,POINT (-765146.7563823921 -977459.7384159539)
4,23194,99,3,23714,POINT (-765001.1614778754 -978526.9522893039)
5,23719,99,6,23773,POINT (-763510.7640560863 -976995.0326989448)
6,23721,99,5,23695,POINT (-764567.7389366926 -977426.3142527506)
7,23722,99,6,23714,POINT (-765001.1614778754 -978526.9522893039)
8,26040,99,3,23714,POINT (-765001.1614778754 -978526.9522893039)
9,30064,99,3,23693,POINT (-765146.7563823921 -977459.7384159539)
10,33144,99,3,23702,POINT (-765123.2570240459 -977342.1213294656)
11,33146,99,3,23758,POINT (-764683.2433421942 -977409.8453558327)
12,33147,99,3,23656,POINT (-763483.7057562588 -977838.7053106566)
13,33148,99,3,23714,POINT (-765001.1614778754 -978526.9522893039)
14,39506,99,3,23664,POINT (-763870.1549770629 -977495.9498958196)
15,39508,99,5,23714,POINT (-765001.1614778754 -978526.9522893039)
16,40445,99,6,23714,POINT (-765001.1614778754 -978526.9522893039)
17,46402,99,6,23634,POINT (-764626.2185259943 -978870.7049086625)
18,46403,99,1,23714,POINT (-765001.1614778754 -978526.9522893039)
19,46602,99,6,23714,POINT (-765001.1614778754 -978526.9522893039)
20,48345,99,1,23714,POINT (-765001.1614778754 -978526.9522893039)
21,49992,99,1,23693,POINT (-765146.7563823921 -977459.7384159539)
22,51509,99,3,23693,POINT (-765146.7563823921 -977459.7384159539)
23,56788,99,7,23693,POINT (-765146.7563823921 -977459.7384159539)
24,57269,99,6,23712,POINT (-765001.9415051275 -977496.6822825207)
25,59115,99,1,23714,POINT (-765001.1614778754 -978526.9522893039)
26,60600,99,6,23714,POINT (-765001.1614778754 -978526.9522893039)
27,60601,99,7,23705,POINT (-764841.9771832903 -977484.4876817935)
28,63039,99,1,23693,POINT (-765146.7563823921 -977459.7384159539)
29,63494,99,3,23715,POINT (-765123.9732583539 -977371.8636916905)
30,63495,99,6,23714,POINT (-765001.1614778754 -978526.9522893039)
31,63496,99,3,23714,POINT (-765001.1614778754 -978526.9522893039)
32,65686,99,5,23656,POINT (-763483.7057562588 -977838.7053106566)
33,65687,99,6,23706,POINT (-764980.3937083529 -977181.1563096963)
34,71011,99,4,23693,POINT (-765146.7563823921 -977459.7384159539)
35,71681,99,1,23714,POINT (-765001.1614778754 -978526.9522893039)
36,71685,99,6,23693,POINT (-765146.7563823921 -977459.7384159539)
37,73884,99,3,23775,POINT (-763542.486263477 -976673.1442549841)
38,74739,99,3,23693,POINT (-765146.7563823921 -977459.7384159539)
39,74913,99,6,23714,POINT (-765001.1614778754 -978526.9522893039)
40,75344,99,3,23693,POINT (-765146.7563823921 -977459.7384159539)
41,78223,99,6,23693,POINT (-765146.7563823921 -977459.7384159539)
42,81940,99,7,23758,POINT (-764683.2433421942 -977409.8453558327)
43,81941,99,1,23756,POINT (-764609.1730962526 -977416.0402004973)
44,82299,99,3,23714,POINT (-765001.1614778754 -978526.9522893039)
45,82409,99,6,23693,POINT (-765146.7563823921 -977459.7384159539)
46,86411,99,3,23714,POINT (-765001.1614778754 -978526.9522893039)
47,87155,99,3,23714,POINT (-765001.1614778754 -978526.9522893039)
48,87156,99,6,23698,POINT (-765049.4711994416 -977195.4436862419)
49,91470,99,6,23762,POINT (-764973.4052354556 -978568.0227153047)
50,91517,99,6,23693,POINT (-765146.7563823921 -977459.7384159539)
51,91568,99,3,23669,POINT (-763642.4932475556 -977304.9487141406)
52,91582,99,1,23664,POINT (-763870.1549770629 -977495.9498958196)
53,92281,99,3,23762,POINT (-764973.4052354556 -978568.0227153047)
54,93877,99,3,23762,POINT (-764973.4052354556 -978568.0227153047)
55,102940,99,4,23693,POINT (-765146.7563823921 -977459.7384159539)
56,103746,99,3,23693,POINT (-765146.7563823921 -977459.7384159539)
57,105387,99,3,23762,POINT (-764973.4052354556 -978568.0227153047)
58,106617,99,3,23762,POINT (-764973.4052354556 -978568.0227153047)
59,112353,99,6,23693,POINT (-765146.7563823921 -977459.7384159539)
60,113901,99,3,23693,POINT (-765146.7563823921 -977459.7384159539)
61,115132,99,7,23693,POINT (-765146.7563823921 -977459.7384159539)
62,17949,6,6,23775,POINT (-763542.486263477 -976673.1442549841)
